id,bid,user_id,用户昵称,微博正文,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4497215785294116,IEN1EmdeY,6432841822,天然呆的小十一005,#周扬青点名蝴蝶姐姐##色痞diss周扬青#ins上有网友问她提到的和罗志祥有不正当关系的女艺人是不是恺乐（蝴蝶姐姐），周扬青回应：“你是说让蝴蝶去检查身体吗？另外罗志祥好友出来站队diss周扬青，他说的这话也太不走脑子吧,,,"周扬青点名蝴蝶姐姐,色痞diss周扬青",0,1,2,2020-04-24 12:41,nova5i 2400万AI四摄,,,
4497215701962920,IEN1w8eE0,3901563082,拾柒yuz,#罗志祥经纪人回应分手传闻#罗志祥经纪人简直是年度绿茶婊🍵，恶心死我了，心疼漂亮姐姐九年的青春,,,罗志祥经纪人回应分手传闻,0,3,28,2020-04-24 12:40,HUAWEI P30 Pro,,,
4497205438159854,IEMKXyeKy,5913933131,C橙xx,#罗志祥道歉#昨天回应，我还觉得没那么难过，毕竟之前媒体已经缓冲了很久了，今天的回应，看了心里莫名很堵,,,罗志祥道歉,0,1,0,2020-04-24 11:59,荣耀10 AI变色更潮美,,,
4497203726395389,IEMIcqPJr,2309531981,捕娱密探,#本人黑眼圈声明##罗志祥回应#罗志祥唱歌很好听，跳舞非常棒，由他主演的《转角遇到爱》也不知道成为多少人的青春回忆。大家还会一如既往的喜欢和支持小猪吗？L时尚娱乐扒的微博视频,,,"本人黑眼圈声明,罗志祥回应",0,6,2,2020-04-24 11:53,iPhone XS Max,,"http://f.video.weibocdn.com/0006eS2ogx07CJ3PdIiA010412031tY60E020.mp4?label=mp4_ld&template=636x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587752746&ssig=CgiPQ5nE4m&KID=unistore,video",
4497202334428821,IEMFXiA8B,3960969511,优德健康,随着研究和应用的不断深入，弱激光治疗在美容皮肤上的应用越来越多。光调节治疗有副作用少，无创无恢复期的优势，更适合现代人快节奏重时间管理的美肤需求。#弱激光##净肤##光调治疗##罗志祥回应分手##罗志祥怎么做的时间管理#,,,"弱激光,净肤,光调治疗,罗志祥回应分手,罗志祥怎么做的时间管理",0,3,2,2020-04-24 11:47,微博 weibo.com,"['http://ww4.sinaimg.cn/large/ec179927gy1ge4php7lz7j20e10exdix.jpg', 'http://ww4.sinaimg.cn/large/ec179927gy1ge4phr2w1gj20e40bnjts.jpg', 'http://ww4.sinaimg.cn/large/ec179927gy1ge4phsz6c4j20e20fp41u.jpg', 'http://ww1.sinaimg.cn/large/ec179927gy1ge4phvxav0j20e30eun0i.jpg', 'http://ww3.sinaimg.cn/large/ec179927gy1ge4phz7pj5j20ez0frn0j.jpg', 'http://ww1.sinaimg.cn/large/ec179927gy1ge4pi0xhixj20f00fxadl.jpg', 'http://ww2.sinaimg.cn/large/ec179927gy1ge4pi2tufwj20ex0b6dhu.jpg']",,
4497202225028881,IEMFMl6eZ,7228555715,爆躁娱乐,#罗志祥道歉#罗志祥今日凌晨五点发文向周扬青道歉，说自己会承担一切后果，可是为什么昨天第一次回应的时候不道歉，还要隔一天才道歉呢？,,,罗志祥道歉,0,2,4,2020-04-24 11:47,,"['http://ww1.sinaimg.cn/large/007Tchyjly1ge4pnfqr5xj30hs0bcwfp.jpg', 'http://ww2.sinaimg.cn/large/007Tchyjly1ge4pnfw33ej30yi0mqdmh.jpg', 'http://ww3.sinaimg.cn/large/007Tchyjly1ge4pnfkyupj30hs0iydgy.jpg', 'http://ww2.sinaimg.cn/large/007Tchyjly1ge4png14wtj30hs0ncdgn.jpg']",,
4497260526598344,IEObOrGwU,3800911799,娱乐理,周扬青发文曝已和罗志祥分手，指责男方9年感情不忠，太贪玩！#罗志祥回应##罗志祥周扬青分手#L娱乐理的微博视频,,,"罗志祥回应,罗志祥周扬青分手",0,0,0,2020-04-24 15:38,微博云剪,,"http://f.video.weibocdn.com/LkKwC6HAlx07CKpZczra010412008Z2X0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587752752&ssig=Y4azt%2BCSxE&KID=unistore,video",
4497260437784336,IEObFwF3O,6193475321,D女郎_庆霞私黛全国招商,#罗志祥道歉#刚刚看完421简直颠覆了我的三观难道还有没有吃到瓜的吗蹲一个姐妹一起吃瓜太大了对于出轨！而且还是多次，我感到特别愤怒其实我更期待实捶，想知道他那些所谓的“好兄弟”到底是谁，扒出来一起滚上热搜，以儆效尤，这放在古代也要浸猪笼，品行道德败坏！#罗志祥周扬青分手##罗志祥回应#LD女郎_庆霞私黛全国招商的微博视频,,,"罗志祥道歉,罗志祥周扬青分手,罗志祥回应",0,2,6,2020-04-24 15:38,HUAWEI Mate 10,,"http://f.video.weibocdn.com/RDxjB920lx07CKpY5FwQ010412001GPS0E010.mp4?label=mp4_ld&template=360x744.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1587752752&ssig=ejQkVPHyvF&KID=unistore,video",
4497260370578188,IEObz2qpC,1501563482,明星娱乐新闻,#陈学冬##屈楚萧黎梵##罗志祥回应#…………发文：“每个男人都会犯的错？对不起，滚啥玩意儿…别一天天给性别甩锅”自爱自律的好男人多了去了！那些渣男自己做的孽自己担吧你们怎么看？,,,"陈学冬,屈楚萧 黎梵,罗志祥回应",517,406,665,2020-04-24 15:38,,"['http://ww1.sinaimg.cn/large/59800a5aly1ge4wadr8yjj20qo0j7wfq.jpg', 'http://ww4.sinaimg.cn/large/59800a5aly1ge4waip1uyj20qo05bglu.jpg', 'http://ww2.sinaimg.cn/large/59800a5aly1ge4wac5b2qj21jk0v91kx.jpg', 'http://ww1.sinaimg.cn/large/59800a5aly1ge4wad6n16j21jk0v9kd8.jpg']",,
4497260341424672,IEObw5YCA,3833189349,异能八卦局长,罗志祥撩妹聊天记录，10分钟不回应就被拉黑，不愧是时间管理大师#罗志祥道歉##周扬青点名蝴蝶姐姐#有男朋友还和罗志祥在一起,,,"罗志祥道歉,周扬青点名蝴蝶姐姐",5,37,125,2020-04-24 15:38,吃瓜专用滴iPhone 8 Plus,"['http://ww2.sinaimg.cn/large/e479d3e5gy1ge4wb46a3cj20om1m7gsd.jpg', 'http://ww3.sinaimg.cn/large/e479d3e5gy1ge4wb50z77j20e60uomzz.jpg', 'http://ww3.sinaimg.cn/large/e479d3e5gy1ge4wb3o5p2j20e60uo0vj.jpg', 'http://ww2.sinaimg.cn/large/e479d3e5gy1ge4wb5gh98j20e60uo41j.jpg', 'http://ww3.sinaimg.cn/large/e479d3e5gy1ge4wb5uq3yj20u01yqq88.jpg', 'http://ww4.sinaimg.cn/large/e479d3e5gy1ge4wb688r5j20u01x5af6.jpg', 'http://ww3.sinaimg.cn/large/e479d3e5gy1ge4wcy5bqvj20u00ofac2.jpg']",,
4497260237064855,IEObltDTh,3979383162,波斯可乐,#罗志祥周扬青分手##罗志祥回应##色痞diss周扬青#明星八卦421又火了🍉罗志祥让沉寂了的421又🔥了没吃🍉的抱走,,,"罗志祥周扬青分手,罗志祥回应,色痞diss周扬青",0,1,1,2020-04-24 15:37,HUAWEI P30,['http://ww2.sinaimg.cn/large/ed30917aly1ge4w9rjjyqj20u01sytgl.jpg'],,
4497260093777959,IEOb7fQOP,5747153332,娱乐旭,《周扬青高调分手曝光罗志祥，小猪回应并未反驳》O周扬青高调分手曝光罗志祥，小猪回应并未反驳,,,,0,0,0,2020-04-24 15:37,微博 weibo.com,,,
4497259854997225,IEOaJkY0p,1745005507,Jared_Ming,奥利给老铁#421页pdf链接#吃瓜上头！我的三观碎一地啊！夏天到了瓜棚的生意爆火了！！贵圈真乱呀#罗志祥周扬青分手##罗志祥回应#这个瓜简直刷新我认知额一大早惊呆啦。去年发的421竟然是真的，我都还没有看完还有其他的瓜搬好小板凳集美们，一起吃瓜吧又一次刷新认知了分享视频L用户1587297437187的秒拍视频,,,"罗志祥周扬青分手,罗志祥回应",0,0,0,2020-04-24 15:36,微博 weibo.com,,"http://miaopai.video.weibocdn.com/KVSHg90Xlx07CJv2OCxW010412000GLJ0E013.mp4?label=mp4_ld&template=360x640.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587752752&ssig=aRH%2BAz2goR&KID=unistore,video",
4497259851067482,IEOaJ4tHs,6169098032,搞笑裳,罗志祥周扬青分手后秀恩爱跳舞视频热传，网友留言耐人寻味#罗志祥回应##罗志祥周扬青分手#L搞笑裳的微博视频,,,"罗志祥回应,罗志祥周扬青分手",0,0,0,2020-04-24 15:36,微博云剪,,"http://f.video.weibocdn.com/Qolc1v1xlx07CKpNe2Fq01041200iGCd0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587752752&ssig=zZBVs572fh&KID=unistore,video",
4497259565755292,IEOago9di,6169098032,搞笑裳,陈伟霆版野狼disco刚火，罗志祥又来领舞，这歌到底多魔#罗志祥回应##罗志祥周扬青分手#L搞笑裳的微博视频,,,"罗志祥回应,罗志祥周扬青分手",0,0,0,2020-04-24 15:34,微博云剪,,"http://f.video.weibocdn.com/Wxt5F5dvlx07CKpILMBi01041200K8RI0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587752752&ssig=EKSUt3PyL7&KID=unistore,video",
4497258660008661,IEO8O02fH,5884536171,嘟嘟八角,第一次吃瓜吃到感觉撑。。有种“好了就到此为止吧我实在吃不下”了的感觉#罗志祥回应##屈楚萧否认恋情#,,,"罗志祥回应,屈楚萧否认恋情",0,0,24,2020-04-24 15:31,HUAWEI P20,,,
4497258646830402,IEO8MsETM,5578988381,G-DRAGON_我的权世界,#屈楚萧黎梵##罗志祥周扬青分手##罗志祥道歉##罗志祥回应##汉江#汉江瓜没来，来了这么多瓜，你老实告诉我是不是#汉江#放的烟雾弹，现在这些瓜是越滚越大了，怎么收场,,,"屈楚萧 黎梵,罗志祥周扬青分手,罗志祥道歉,罗志祥回应,汉江",0,0,2,2020-04-24 15:31,vivo X20全面屏手机,,,
